DateTime,temp_c_ple,humidity_ple,pressure_ple,pm1_0a,pm2_5a,pm10_0a,pm1_0b,pm2_5b,pm10_0b,temp_c_keg,humidity_keg,pressure_keg,pm1_0k,pm2_5k,pm10_0k
2024-05-29 17:44:00,36.67,39.0,982.18,21.43,32.19,32.71,19.91,28.73,29.42,33.65,43.73,98243.01,20.72,29.6,29.99
2024-05-29 17:46:00,36.11,39.0,982.13,19.67,28.91,29.26,18.79,28.28,28.67,33.61,42.68,98241.2,20.45,29.79,30.8
2024-05-29 17:48:00,36.67,41.0,982.15,21.32,30.46,31.56,19.55,29.16,29.69,33.51,42.54,98238.81,21.42,29.81,30.41
2024-05-29 17:50:00,36.11,40.0,982.12,21.66,32.26,33.93,19.11,27.67,28.93,33.46,44.59,98239.85,21.19,30.05,30.94
2024-05-29 17:52:00,36.11,42.0,982.16,22.39,33.2,34.97,19.55,29.34,30.23,33.46,45.47,98238.56,21.24,30.68,31.84
2024-05-29 17:54:00,36.67,42.0,982.15,23.91,34.91,36.09,22.51,32.4,33.14,33.51,47.42,98238.88,22.52,31.62,32.74
2024-05-29 17:56:00,36.11,42.0,982.15,23.15,33.37,34.73,21.7,31.57,32.17,33.59,48.47,98240.88,23.09,32.85,33.31
2024-05-29 17:58:00,36.11,42.0,982.12,25.62,37.91,39.45,24.14,35.58,36.02,33.68,50.47,98242.32,26.62,38.5,39.65
2024-05-29 18:00:00,36.67,42.0,982.22,25.16,35.38,36.98,22.7,33.61,33.95,33.71,49.96,98246.19,26.14,37.75,38.94
2024-05-29 18:02:00,36.11,42.0,982.25,24.27,36.69,38.35,22.95,33.75,33.89,33.73,49.62,98251.4,25.02,36.26,37.59
2024-05-29 18:04:00,36.11,42.0,982.31,24.36,35.53,37.39,22.67,31.36,32.16,33.73,49.71,98256.95,24.65,36.06,36.84
2024-05-29 18:06:00,36.67,43.0,982.35,25.35,38.49,39.54,23.21,33.0,33.5,33.74,50.26,98260.95,26.02,37.49,38.86
2024-05-29 18:08:00,35.56,42.0,981.25,24.71,36.16,37.35,22.69,32.91,33.41,33.73,50.83,98263.79,24.62,35.75,37.44
2024-05-29 18:10:00,36.11,43.0,982.3,24.61,36.45,38.36,23.66,33.34,33.86,33.71,50.94,98262.56,26.71,38.25,39.24
2024-05-29 18:12:00,36.11,42.0,982.34,24.95,35.36,38.2,23.39,33.37,33.56,33.69,51.01,98260.18,25.76,36.76,37.5
2024-05-29 18:14:00,36.11,42.0,982.36,25.93,39.24,40.64,23.55,34.29,35.07,33.65,51.34,98263.74,27.0,38.24,39.49
2024-05-29 18:16:00,36.11,43.0,982.35,27.11,39.89,42.07,24.81,37.02,37.85,33.61,51.78,98266.04,27.28,38.44,39.4
2024-05-29 18:18:00,36.11,43.0,982.38,36.42,54.22,57.2,31.59,51.07,52.59,33.55,52.19,98265.19,34.31,51.74,53.38
2024-05-29 18:20:00,36.11,44.0,982.38,36.75,56.82,59.71,33.81,53.66,55.12,33.54,52.39,98266.17,38.1,56.91,59.02
2024-05-29 18:22:00,36.11,44.0,982.42,36.52,55.05,57.57,33.55,51.82,52.4,33.5,53.17,98269.19,36.65,54.98,58.16
